연번,용어명,용어설명,유사용어
97,광산보안관,"광산 보안관은 산업자원부 장관과 법규에 의하여 위임된 서울 특별시장, 직할시장, 또는 도지사의 광산 보안 감독에 관한 사무를 보좌하기 위한 광산 보안 감독 기구의 구성원이다. 광산 보안관은 광산 현장 조사권, 사법 경찰권 및 보안 사고 신고 수리 등의 업무를 담당한다.",鑛山保安官
98,광산보안교육,"광산근로자들의 재해예방을 위하여 안전교육과, 생산성 향상을 위한 직무능력 향상훈련 및 직업능력","鑛山保安敎育, Mine safety education"
99,광산보안규정,"광업권자 또는 조광권자는 광산 보안을 확보하기 위하여, 항상 50인 이상의 광산 종업원을 사용하는 광산에 있어서는 광산마다 광산 보안 규정을 제정하여 산업 자원부 장관(사무소장)의 승인을 얻어야 하며, 이를 변경할 때에도 승인을 얻어야 한다. 다만, 사무소장은 광산 보안을 위하여 특히 필요하다고 인정할 때에는, 항상 50인 미만의 광산 종업원을 사용하는 광산에 대해서도 보안 규정을 제정하게 할 수 있다.",鑛山保安規定
100,광산보안법,"광산노동자에 대한 위해를 방지함과 동시에 광해를 방지하고, 광물자원의 합리적인 개발을 도모하는 것을 목적으로 1963년 3월 5일 법률 제1292호로 공포된 법률로서, 전문 29조 및 부칙으로 되어 있다. 법률의 정의에 따르면, 광산보안이란 광산에서 다음 각 호의 사항을 말한다. ① 사람에 대한 위해의 방지, ② 지하자원의 보호, ③ 광업시설의 보존, ④ 광해의 방지(2조). 사람에 대한 위해의 방지에는 위생에 관한 통기 및 재해시의 구호를 포함하고 있다. 광산보안법에 광산보안의 단속에 관한 대강(大綱)을 나타내고, 세부규정은 광산보안법 시행령(1981.6.24, 대통령령 10369호) 및 동 시행규칙(1969.7.7, 상공부령 282호)에 의하여 규정하고 있다. 한국은 삼국시대 이전부터 금·은·동 귀금속을 사용하였고, 국가에서 금·은·철 등의 생산을 장려하였으나, 광업에 관한 법령은 없었다. 조선 말기 1896년(고종 33)에 비로소 광업에 관한 법령으로 사광개채굴조례(砂鑛開採掘條例)를 제정 실시한 것이 광업법규의 시초이다. 그후 미국의 운산 금광개발특허와 일본 통감부의 자극으로 광무행정이 급선무임을 깨닫고, 1905년(광무 9)에 광업법을 제정 발표하였다. 일제강점기에 광업은 외국인의 손에 의하여 활발하게 되어 1915년 12월 제령(制令) 제8호로 조선광업령을 공포·실시하고, 동 시행규칙, 조선광업등록규칙 및 제반 부수규칙을 제정 실시하다가 8·15광복을 맞이하였다. 건국 후 국내 사정의 정비관계로 새로운 광업법 제정이 지연되어 오다가 1951년 12월 23일 전시임에도 불구하고 법률 제234호로 한국의 광업법이 공포되었다. 그러나 광업개발 보호육성에 필요한 광산보안법은 제정이 지연되다가 1963년에 제정되었다.",鑛山保安法
101,광산보안법감독기관,"광산보안법 제3장에 규정되어 있는 광산보안에 대한 감독기관에는 다음과 같은 것이 있다. 〈광산보안관〉 외교통상부에서 광산보안에 관한 업무를 관장하고, 광산보안의 감독지휘를 한다. 외교통상부 설치법에 따르면 광산보안에 관한 관장업무는 ① 광산에서 사람에 대한 위해의 방지(위생에 관한 통기 및 재해시에 있어서 구호 포함), ② 광물자원의 보호, ③ 광산시설의 보존, ④ 광해의 방지, ⑤ 광산에서 보안기술의 개선, ⑥ 광산보안법에 관한 교육 등이다. 현장 부근에 외교통상부 광산보안 관리관실 산하에 5개광산보안출장소, 즉 영동지구(황지 지구)에 영동광산보안 출장소, 영서지구(고한·정선·영월 지구)에 영서 광산보안출장소, 중부지구(점촌·단양·충주·대구 지구)에 중부광산보안 출장소, 서부지구(서울·경기·충남 지구)에 서부 광산보안출장소, 남부지구(제주·전남·전북·경남 일원)에 남부 광산보안출장소가 있다. 관내 광산의 보안에 관한 업무, 시설의 성능검사, 광산보안관에 의한 순회감독, 보안사상 및 보안기술의 지도를 한다. 광산재해 발생시에는 광산보안관에 의한 재해상황 및 원인 조사를 하고, 보안법규 위반의 유무, 재해책임의 소재를 확실하게 하며 장래의 재해방지를 위한 자료로 사용한다. 광산보안 감독행정의 중요한 점은 인명 존중에 입각한 사람에 대한 위해 방지에 있다.",
102,광산보안위원회,광산 보안에 관한 산업자원부 장관의 자문 기구로 산업자원부에 광산 보안 위원회를 두고 있다. 이 위원회의 업무와 구성 및 기타 필요한 사항은 대통령령인 광산 보안법 시행령에 규정되어 있다.,鑛山保安委員會
103,광산재해,광산에서의 사상자 또는 시설의 파손 및 자원의 손실 등을 수반하는 사고를 말한다.,"鑛山災害, Mine disaster"
104,광산지리정보시스템,"광산개발도면, 광산 및 광해 자료, 수치지도 등을 데이터베이스화한 광산관련 정보시스템으로 구축 후 국토개발 및 광산지역 개발시 기초자료로 활용키 위한 시스템을 말한다. << 광상의 분류(생성과정) >> ①화성 광상 ·정마그마 광상 ·페그마타이트 광상 ·접촉교대 광상 ·열수 광상 ②퇴적 광상 ·화확적 퇴적 광상 ·유기적 퇴적 광상 ③변성 광상 ·암석의 변성과정에서 이루어지는 광상 ④표성 광상 ·풍화 잔류 광상 ·사광상","鑛山地理情報System, GIS: Geographic Information System"
105,광상,"지각 내에 어떤 암체가 유용 광물로 농축되어 경제적으로 개발 가치가 있을 때 이를 광상이라 한다. 광상은 어떤 특정 성분이 지질 작용이 진행되는 동안에 농집된 것을 의미하며, 광상의 분류는 생성과정에 따라 나누어진다.","鑛床, Ore deposit"
106,광석,"채굴 대상이 되는 유용 광물을 광석이라하고, 광석 중에 포함된 쓸모 없는 광물을 맥석이라 한다. 석영맥에 구리, 아연 등의 금속 광물이 포함되어 있을 경우 우리가 필요한 것은 금속이므로 구리, 아연 광물이 광석 광물이고, 석영은 불필요한 것이므로 맥석 광물이 된다. 광석은 금속 광물 뿐만 아니라 장석, 석면, 점토 등 비금속 광물도 있으며, 오늘날에 와서는 석회석과 같은 암석도 시멘트 원료 광석으로 이용된다. 광석이 경제적 가치를 가진다는 것은 일정한 채굴량에 들어 있는 유용 성분의 함유량에 따라서 결정된다.","鑛石, Ore"
107,광소,광상의 분류법 중 형태에 의하여 분류할 경우 불규칙적 광상에 해당하는 것으로서 작고 불규칙한 모양을 가진 광괴이다.,鑛素
108,광액,분말상의 광석(또는 석탄)과 물과의 혼합물로 현탁액의 상태로 있는 것을 말한다.,"鑛液, Pulp"
109,광업,"유용광물을 탐사(탐광)하고, 이것을 채굴(채광)해서 유용광물과 폐석을 선별(선광)하여 그 정광(精鑛)을 제련하는 산업. 광업은 농업과 함께 인간문명 발전의 기간(基幹)을 이루는 2대 산업이다. 농업이 인간에게 생명을 유지하게 하는 음식을 제공해 준다면, 광업은 생활을 영위하게 하는 자재·원료·연료 등을 제공해 주고 있다. 즉, 돌·시멘트·철과 같은 건축자재, 구리·철·납·아연·황·흑연과 같은 공업용 원료, 석탄·석유·천연가스와 같은 연료, 칼륨 ·인산 ·질소와 같은 비료원료, 금·은·다이아몬드·루비·청옥과 같은 보석류, 그리고 우라늄과 같은 핵분열물질 등을 인간에게 공급해 주고 있다.","鑛業, Mining"
110,광업개발심의회,"광업 정책을 효율적으로 수행하기 위하여 산업 자원부에 광산 개발의 중요 정책 사항을 심의하고 자문을 구하기 위하여 광업 개발 심의회를 두게 되어 있으며, 이 심의회의 구성, 운영, 그 밖에 필요한 사항은 대통령령으로 정한다. 이상과 같이 정부가 광업을 육성, 보호하고 관리와 감독을 철저히 할 수 있도록 명백히 규정해 둠으로써 광산 개발을 효율적으로 수행할 수 있게 된다.",鑛業開發審議會
111,광업권,"등록을 받은 일정한 광구(鑛區)에서 등록을 받은 광물과 이와 동일 광상중(鑛床中)에 부존(賦存)하는 다른 광물을 채굴하며 취득하는 권리(광업법 5조). 광업원부에 등록함으로써 성립하는 것으로 물권으로 간주된다. 다만, 상속 ·양도 ·저당 ·조광(租鑛) ·체납처분과 강제집행 이외에는 권리의 목적으로 할 수 없다(12 ·13조). 광업권의 설정을 받고자 하는 자는 광업권 설정출원서(設定出願書)를 통상산업부 장관에게 제출하여 허가를 받아야 한다(17조, 동시행령 13조). 다만, 설정출원은 매광구별로 하여야 하며, 동일한 광구에 동종(同種) 광물의 광업출원(鑛業出願)이 중복된 경우는 선출원자(先出願者)에게 우선적으로 허가하여야 한다(21조). 허가를 받은 경우에는 통상산업부 광업등록사무소에 등록세 영수증 등을 첨부하여 등록을 신청하여야 한다(시행령 48조). 광업권의 존속기간은 25년을 원칙으로 하되 기한만료 전에 통상산업부 장관의 허가를 받아 존속기간을 연기할 수 있다. 다만 매차(每次)의 연기기간은 25년 이내로 한다(14조). 광업권은 대한민국 국민과 대한민국의 법률에 의하여 설립된 법인 및 국회의 동의를 얻어 정부가 특히 인허(認許)한 외국인 및 외국 법인(外國法人)에 한하여 향유할 수 있다(6조).",鑛業權
112,광업권자,"광업권은 개인의 명의로 등록할 수도 있고, 1개의 광구를 2명이상이 공동으로 가질 수 있도록 정해 두고 있다. 이와 같은 경우 각 개인을 공동 광업권자라 하고, 광업권에 대한 제반 권리 행사와 의무 이행에 대하여 공동으로 권한과 의무를 가지게 된다. 따라서, 광업권자 상호간에 하등의 계약을 하지 않아도 민법상의 조합과 같은 성질의 것으로 규정되어 있기 때문에, 만일 광업권을 이전할 때에도 공동 광업권자의 확인이 있어야 한다. 그러나, 국가가 각 공동 광업권자에게 일일이 명령이나 지시 사항을 전달하기에는 사무적으로 복잡하므로 공동 광업권자 중에 대표자를 선정하게 되어 있다.",鑛業權者
113,광업권제도,"우리나라와 같이 광업권주의를 택하는 나라에서 광물의 합리적인 개발을 도모하고, 토지로부터 광물을 채굴하여 취득할 수 있는 권한을 토지 소유권과 분리하여 광업권이란 귄리를 국가가 부여하는 법적 제도를 말한다. 이 제도는 광물 자원이 한정된 자원인 동시에 국가 경제의 주요한 기본 자원이므로 국가적인 차원에서 조정할 필요가 있고, 지하 자원의 특수성으로 인하여 채굴의 권한을 토지 소유권과 분리할 필요가 있기 때문이다. 거기에다 광물 자원의 개발에 따른 위험성과 특수성으로 인하여 국가의 충분한 보호와 지도의 필요성이 있는 점 등을 감안하여 광업권 제도가 설정되었다고 할 수 있다.",鑛業權制度
114,광업권존속기간,1)광업권의 존속기간은 25년을 초과할 수 없다. 2) 광업권자는 광업권의 존속기간만료전에 대통령령이 정하는 바에 의하여 산업자원부 장관의 허가를 받아 광업권의 존속기간을 연장할 수 있다. 이 경우 매차(每次)의 연장기간은 25년 이내로 한다.,鑛業權存續其間
115,광업권주의,비단 토지의 소유자라 하더라도 광업권이 없으면 광물을 채굴할 수 없게 되어 있다. 이와 같은 방식을 채택하는 것을 광업권주의라 한다.,鑛業權主義
116,광업권출원,"광업권 출원이란 광업권을 설정코자 하는 의사표시라고 할 수 있다. 광업권을 부여하는 방법은 영국등지에서 이루어지는 사계약(私契約)에 의한 원칙을 제외하면 대별하여 선원주의(先願主義)와 능력주의(能力主義)의 두 법제가 실시되고 있는데 선원주의를 기초로 하는 경우에는 미국, 카나다, 필리핀 등과 같이 광구 선점을 요건으로 하는 경우와 독일, 칠레, 일본, 대만, 한국 등에서와 같이 국가기관에 제출하는 원서의 선·후에 의해 결정하는 경우 및 광물발견자주의를 가미하는 경우 등으로 그 내용에도 차이가 있다. 광업에 대한 개발능력을 고려하여 권리를 부여하는 제도인 능력주의를 채택하고 있는 국가로는 프랑스, 이태리, 태국 등을 들 수 있다. 우리나라에서는 산업자원부 광업등록사무소에서 광업권 설정출원을 받고 있는데 먼저 광업권 출원신청서를 제출하는 사람에게 광업권을 설정할 수 있는 우선권을 주는 선출원주의를 채택하고 있다. 동시에 광업권을 출원하는 경우에는 추첨에 의하여 우선순위를 결정하게 된다.(1) 근거법령 : 광업법 제17조제1항, 동법시행령 제8조 제1항 제2항, 동법시행규칙 제8조(2) 민원인이 해야할 사항1) 1차 제출서류 ① 출원서 1부② 주민등록초본 1부 또는 주민등록증(개인의 경우) ③ 법인등기부등본 1부 (법인의 경우)2) 2차 제출서류 ① 광상설명서 1부(출원일로부터 6개월 이내) 3) 수수료 및 기타비용의 납부 (3) 유의사항 광업권설정출원일로부터 6개월 이내에 광상설명서를 제출하여야 하며, 기한내에 제출하지 않을 경우 각하처분됨(광업법시행령 제18조 제2항)",鑛業權出願
117,광업대리인,"광업권자 또는 조광권자가 광산 개발을 직접 관리할 수 없을 때, 광업 대리인을 선정하여 이 광업 대리인에 대한 권한의 범위를 정하여 기재하고, 광업 대리인과 연서하여 산업 자원부 장관에게 신고해야 한다. 그러나, 광업 대리인은 광업의 관리, 운영에 국한된 위임 사항으로서, 광업권의 권리 변동 등에 대해서는 관여할 수 없으므로 대리인에게 모든 권한이 주어진 것은 아니다.",鑛業代理人
118,광업자금융자,"민영광산의 광업권자 및 조광권자에게 자금을 융자지원 하는 것으로서, 융자는 시설자금과 운영자금의 2종류가 있다. 운영자금은 일반운영자금과 단기성 운영자금으로 구분하면 일반운영자금은 대한광업진흥공사법 제12조 제3항의 규정에 의한 광산평가 결과에 따라 융자하는 운영자금이며, 단기성 안정자금은 일시적인 자금난 해소를 위하여 융자하는 단기성 운영자금을 말한다.",鑛業資金融資
119,광업조정위원회,"이의 신청 사항을 심의, 의결하기 위하여 산업 자원부 산하에 광업 조정 위원회를 두게 되어 있고, 이 위원회의 위원은 경험과 지식이 많은 사람 중에서 장관이 위촉하게 되어 있으며, 그 기능과 운영은 대통령령으로 정하도록 규정되어 있다. 이 위원회에서 이의 신청에 대한 심의를 한 결과 이유 있다고 인정되면 그 행정 처분에 대한 시정을 할 수 있도록 장관에게 제의하고, 이유 없다고 의결된 때에는 그 신청인은 1개월 이내에 행정 소송을 제기할 수 있다.",鑛業調定委員會
120,광역변성대,"광역변성작용을 받아서 변성된 지대. 조산대의 중추부를 이루며, 대개 띠 모양으로 분포하고 있다. 이 지대는 규모가 크고 반드시 조산운동과 더불어 형성될 뿐만 아니라, 변성도가 여러 가지로 다른 변성암이 규칙적으로 띠 모양을 이루며 분포하는 것이 특징이다. 광역변성대와 변성암의 다이성(多異性)은 변성암을 형성시킨 물리적 조건이 다양하기 때문이다. 광역변성대의 변성암 연구는 조산운동의 역사를 규명하는 데 중요하다.","廣域變成帶, regional metamorphic belt"
121,광역변성암,"광대한 지역에 변성작용이 일어나서 조직이나 광물의 일부 또는 전부가 변화한 암석. 광역변성작용은 수백㎞까지에 이르는 광대한 지역에 변성암이 생성되는 현상으로서, 조산운동의 중요한 요소 중의 하나이다. 이 경우에는 지각운동 때문에 암석이 지하 깊숙이 치밀려 들어가거나 화성암마그마의 관입(貫入)으로 인해서 기존의 암석을 구성하는 광물 사이에 반응이 일어나, 그 전과는 다른 새로운 광물과 조직이 생기어 암석의 성질이 변화한다. 이렇게 해서 생성되는 광역변성암은 두드러진 방향성(方向性) 조직, 곧 편리(片理)나 줄무늬 모양 구조를 가진 결정편암(結晶片岩)이나 편마암(片麻岩)이 된다. 광역변성작용에서는 온도와 함께 압력도 중요한 요인이어서, 온도와 압력의 비(比)에 따라 고압저온형(高壓低溫型), 중압형(中壓型) 및 저압고온형 등 몇 가지 경우로 나눌 수 있다. 고압저온형 광역변성작용에서는 남섬석(藍閃石), 로손석(石), 비취휘석 등의 고압(高壓)광물이 생성된다.",廣域變成岩
122,광차,"광산에서 가장 많이 사용되는 광차는 광석이나 석탄을 운반하는 용기로서, 그 종류는 철재와 목재가 있으며, 큰 광산에서는 대개 철재 광차를 쓴다. 철재 광차의 용량은 1톤에서 5톤까지 여러 종류가 있으나, 국내 광산은 주로 1톤과 3톤 용량의 광차를 사용하고 있다. 광차는 충격이나 마찰 또는 부식 등에 강하고, 운전 중 탈선이 잘 되지 않으며, 수명이 길고 값이 싼 것일수록 좋은 광차라 할 수 있다. 2대 이상의 광차를 연결할 때에는 광차에 장치된 링에 핀을 꽂아 연결시키게 되어 있으며, 만일 사갱에서 링이나 핀이 파손될 경우에는 큰 사고가 일어나게 되므로 항상 정비를 철저히 해야 한다. 탄광에서는 달리 탄차(炭車)라고도 한다.","鑛車, Mine car"
123,광천,광물성 물질 ·방사성 물질 등을 함유한 용천(湧泉). 제2차세계대전전에는 일반적으로 체온보다 높은가 낮은가에 따라 온천과 광천을 구분해서 불렀으나 광천이라는 개념에는 온천도 포함된다. 광천은 함유된 성분에 따라 단순탄산천 ·알칼리천 ·산성천 ·방사능천 등으로 구분한다. 온천수 ·냉천수는 옛날부터 약수로 쓰이거나 여러 가지 병에 효과가 있는 목욕물로 쓰였다.,"鑛泉, mineral spring"
124,광층,"수성암이 생성될 때 광물이 함께 침전되어 지층 속에 낀 층상의 광상이며, 그 모양이 불규칙하고 두께보다 넓이가 작은 것을 말한다. 광층 중에서 두께가 균일하고 두께보다 넓게 퍼져 있는 것을 층(seam)이라 한다. 예를 들면 석탄은 대개의 경우 층으로 되어 있다. 이탄은 지표 부근에서 산출되나, 다른 석탄은 보통 사암(sandstone), 셰일(shale) 등의 사이에서 층상으로 산출되는데, 이것을 탄층(coal seam) 이라 한다. 탄층을 가지고 있는 지층을 협탄층이라 하며, 그것이 있는 곳을 탄전(coal field)이라 한다.","鑛層, ore bed"
125,광학선별법,"남아프리카의 다이아몬드 선별용으로 고안된 것임. 맥석 광물들은 표면에서만 빛을 반사하나 다이아몬드는 내부에서도 빛을 반사, 산란시킨다는 성질을 이용하여, 이동 벨트의 최종 간격으로부터 산란광이 나올 때마다 전자 회로를 이용, 문을 열어 다이아몬드만 배출되도록 한 것이다.",鑛學選別法
126,광해,"1)광해란 광산 개발로 인하여 지표 시설물이나 경작지 또는 지표의 환경에 끼치는 일체의 손해를 말한다. 2)광물의 채굴을 위한 토지의 굴착, 갱구 혹은 폐수의 방류, 폐석(사석)또는 광체의 퇴적, 광연의 배출 등에 의하여 제삼자에게 미치는 불이익을 말한다. 1. 재해(災害) 광산은 지하 깊은 곳에서 작업을 하게 되므로 다른 산업에 비해 재해율이 높다. 재해의 종류는 낙반, 출수, 가스폭발, 갱내화재, 화약류 등 여러 가지가 있으며, 이와 같은 재해가 많이 발생하는 이유는 평소 보안 법규나 규칙을 잘 이행하지 않는 데 원인이 있으므로, 항상 철저한 보안 교육과 훈련을 실시해야 한다. 2. 구조(救助) 일단 재해가 발생하면 구조를 해야 하는데, 구조란 인명을 구하고 응급 처치를 하는 것을 말하며, 사고 지점에서 병원으로 옮기는 데 시간이 걸리므로, 그 동안에 응급 처치를 함으로써 생명을 구하게 하는 방법을 습득해야한다. 응급 처치에는 지혈법, 충격을 받았을 때의 조치, 질식했을 때의 인공 호흡법 등을 들 수 있다.","鑛害, Injurious from miining"
127,광해배상제도,"광해는 단시일 내에 발생되는 것이 아니라 오랜 세월에 걸쳐 광산 개발과 더불어 서서히 발생하고, 또 광해의 정도도 산정하기가 어려울 뿐 아니라, 광해에 대한 광업권자와 피해자 간의 견해가 상반되기 때문에 광해 배상에도 많은 어려움이 있다. 이와 같은 견지에서 일반 민법상의 손해 배상과는 달리 광업법에 광해 배상 제도를 둠으로써 피해자를 보호하도록 했다. 민법의 손해 배상 제도와 광해 배상 제도의 차이점은 다음과 같은 것이 있다. (가) 광업에 의하여 일어나는 광해라도 광업법에 해당되는 광해 이외에는 일반 민법상의 손해 배상이 적용된다. (나) 민법은 불법을 행한 당사자가 책임지나, 광업법상 광해는 손해 발생 당시의 권리자가 책임진다. (다)광해는 금전 배상뿐만 아니라 원상 복구해야 할 의무를 지는 경우가 많다. (라)광해 배상 의무는 공동 광업권자뿐만 아니라, 광산 개발에 관계된 자에 대한 넓은 범위의 연대 책임을 지게 된다. (마)광산보안법을 광해 방지책의 일환으로 채택하고 있다. (바)광해에 대해서는 민법의 적용을 받기 전에 광해 조정 제도를 두고 있다. (사)광해 배상 규정은 과실의 유무를 따지지 않고 획일적으로 배상 의무를 부과시킨다.",鑛害賠償制度
128,괴광,덩어리 광석을 괴광이라 한다. 보통 15㎜ 이상의 광석을 말한다. 분상의 것을 분광이라 하면 5-15㎜정도의 것을 분광이라 하고 5㎜이하의 것은 임광이라고 한다.,"塊鑛, lump ore"
129,괴상광상,"불규칙한 모양을 한 광상. 길이 ·폭 ·두께가 거의 같다. 층상광상(層狀鑛床) ·맥상광상(脈狀鑛床)에 대응하는 말이다. 광상의 형태만을 나타내며, 금속광상이나 비금속광상이나 어느 쪽에도 사용된다. 괴상의 뜻에는 엄밀한 정의(定義)가 있는 것이 아니고 층상 ·렌즈상에 가까운 형태의 것도 괴상이라 부르는 경우가 있다. 접촉교대광상(스카른 광상)은 괴상광상의 한 예이다.","塊狀鑛床, massive"
130,괴탄,"덩어리로 된 석탄으로서 발열량은 6,300∼6,500㎉/㎏정도로 분탄 보다 높으며, 규격별로 소괴(15∼40㎜), 중괴(40∼60㎜), 대괴(65㎜이상)로 분류된다.",塊炭
131,교질다이너마이트,"달리 젤라틴 다이너마이트라고도 하며, 약면약에 니트로글리세린을 배합한 것을 말함. 블라스팅 젤라틴은 니트로글리세린 함유량 92-93%, 약면약 7-8%로 조성 되어 있고, 폭발 온도 4500℃, 폭발속도 7000m/s정도로 가장 강력한 다이너마이트이다.",
132,교환정보제도,어느 사업소에서 폐기물이라 할지라도 다른 기업에서는 유용할지 모른다. 그래서 이러한 정보를 수집하고 알선하는 것이 교환정보제도이다.,交換情報制度
133,구호대,"갱내의 가스 중 일산화탄소가 가장 무서운 가스로서, 갱 안의 일단 가스 중독자가 발생했다면 즉시 구호대를 조직하여, 산소 호흡기를 착용시켜 생존자를 구해야 한다. 산소 호흡기는 평소 보관중에도 점검을 철저히 하지 않으면 안된다. 만일, 갱 안에서 사고가 발생하여 산호 호흡기를 갑자기 사용하려 할 때, 산소가 없어졌거나 밸브가 열리지 않는다면 큰 위험을 당하는 경우가 있으므로, 평소에 유지, 관리를 철저히 하여 안전하게 사용할 수 있도록 해 두어야 한다.",救護隊
134,국영광업,"국가는 산업 자원부 주관하에 국가에서 만든 기관인 대한 석탄 공사, 대한 광업 진흥 공사 및 대한 석유 공사로 하여금 광업을 직접 경영할 수 있도록 법으로 정해 두었으며, 이와 같이 국가 기관이 광업을 직접 경영하는 것을 국영 광업이라 한다. 이 국영 광업체도 광업법의 적용을 그대로 받아야 하므로 광업권자나 조광권자가 되어야 함은 물론이다.",國營鑛業
135,국제협력조사,자원보유 개도국 등 자원관련 전문기관과의 광물자원 공동 탐사 실시로 유망프로젝트 조기 발굴을 위한 사업을 말한다.,國際協力調査
136,굴진능률,굴진기능원 1인이 1교대(8시간)작업 기준 중 암석을 절취하여 진행시킨 굴진 진행장(M/공)을 말한다.,掘進能率
137,굴진부,"암석갱도를 굴진 하는 작업원을 말한다. ""갱부""참고",掘進夫
138,굴진증구,"굴진증구란 광업권자가 굴진하고 있는 광상이 인접한 타인의 광구에 연속되었을 때 그 광상의 완전하고 합리적인 개발을 위하여 인접 광구의 광업권자, 조광권자 또는 저당권자의 승낙을 얻어 일정한 광구의 증가를 출원하는 것을 말한다.",掘進增口
139,굴착,"채광의 근본이 되는 작업으로서 광상의 채굴 및 그에 따른 토사, 암석을 채굴하는 것을 말한다. 굴착 작업에서 암석이나 광석이 잘 부서지는 것과 부서지지 않는 것이 있는데, 이러한 차이는 그 암석이나 광석이 가지는 저항 때문이다. 이 저항은 주로 두 가지 성질로 나눌 수 있다. 하나는 그 암석이나 광석이 가지는 굳기이고, 다른 하나는 인성, 즉 밀착력이다.","掘鑿, excavation"
140,굴착용권양기,수갱굴착은 수직으로 굴착해 내려가야 하므로 굴착과 축벽을 위한 여러 가지 장비가 준비되어야 하는데 이때 굴착용 권양기와 권양탑이 설치되어야 한다.,掘鑿用捲楊機
141,권양기,"광산에서는 와이어 로우프에 의한 운반이 많다. 사갱이나 수갱에서 권양기로 광차나 케이지 또는 스킵을 운반할 때 로우프를 사용하여 운반한다. 이 로우프는 가는 소선(wire), 즉 철사를 꼬아서 자승(strand)을 만들고, 다시 이 자승을 여러 개 꼬아서 만든 것으로서, 철사의 수를 본 수로 표시하고, 자승의 수를 연으로 나타내게 되어 있다.","捲楊機, Hoist"
142,권양기탑,"수직갱(垂直坑)의 카페 감기에서 윈치를 직접 그 위에 설치한 탑.수갱굴착은 수직으로 굴착해 내려가야 하므로 굴착과 축벽을 위한 여러 가지 장비가 준비되어야 하는데 이때 굴착용 권양기와 권양탑이 설치되어야 한다. 윈치 설치장소를 크게 나누면, ① 케이지에 출입하는 탄차(炭車)의 진행방향에 대해 권양대의 뒤쪽 지상(地上), ② 권양대의 옆쪽 지상, ③ 권양대의 탑두(塔頭) 등인데, ③의 경우에 사용되는 것이 이른바 권양탑이다. 갱구 부근이 좁거나 지질이 약하여 권양기를 설치할 수 없는 경우 또는 다강권양(多綱捲揚)을 할 경우 등에 이용된다.","捲揚機塔, winding machine tower"
143,규사/규석,"1)순수한 석영에 가까운 모래나 암석으로서 유리 제품의 주원료이지만, 최근에는 반도체 재료인 실리콘의 원료 광물로서 많이 이용되며, 시멘트부원료, 유리용, 주물용, 타일시멘트, 코티드 샌드용 등으로 사용된다. 우리나라는 자원이 풍부하므로 정제 기술이 발전되면 귀중한 자원이 될 수 있다. 2)국내에 매장량이 풍부한 광물중의 하나이며, 전국적으로 널리 분포되어 있다. 산출상은 석영맥, 장석과 석영이 혼재하는 페그마타이트, 퇴적기원의 사암이 번성을 받아 형성된 규암층·사암층이 주로 이루고 있다.","硅砂/硅石, silica sand"
144,규산염광물,"SiO4 사면체 구조를 기본골격으로 하는 결정구조의 광물이다. 사면체는 각기 독립되기도 하고 하나나 둘 또는 여러개의 산소원자를 이웃하는 사면체와 공유함으로써 기본골격의 구조를 달리한다. 석영, 장석, 운모, 각섬석, 기타 주요 조암광물은 거의 규산염 광물이다.",硅酸鹽鑛物
145,규조토,"주로 규조의 유해(遺骸)로 된 연질(軟質)의 암석 또는 토양. 바다에 사는 단세포 동물의 일종인 규조류가 쌓여서 된 것으로, 성분은 함수규산(SiO2)질이다. 연마제, 여과, 정제, 열, 소리 등의 차단제로 이용되며, 전세계적으로 산출 지역이 많다. 해수에서 생성된 것과 담수성의 것이 있으며, 양질의 것은 이산화규소 SiO2를 90% 이상 함유하고 있다. 세계적인 산지는 미국의 캘리포니아 ·오리건 등이며, 그 다음이 독일 ·프랑스이다. 니트로글리세린 등과 같은 폭발제의 흡수제 및 촉매운반체 ·탈지제(脫脂劑) ·흡착제 ·여과제 ·소성단열재 ·시멘트 혼화제 ·연마재 등으로 쓰인다. 우리나라는 경상 북도 영일 지역에서 많이 생산되며, 1980년의 생산량은 약 25,000톤이었다.","硅藻土, diatomaceous earth"
146,규칙광상,"맥상과 층상의 광상을 말한다. 다만, 맥상 광상 중에서도 품위 및 형태가 심히 불규칙적일 경우에는 불규칙 광상으로 간주할 수 있다.",規則鑛床
147,그레이트볼밀,"실린더형 밀이며, 밀 내에서 빻아진 광석이격자를 통하여 배출된다. 이 종류의 밀에는 마시 밀(Marcy mill)과 앨리스 차머스 밀(Allis Chalmers mill)이 있으며, 이 두 밀의 차이점은 격자 구조에 있다.",
148,그뢴달습식자력선별기,미세한 자철광의 광액을 공급하면 수면과 접촉한 원통형 밑에 미분의 철광석이 붙는 장치.,
149,그리즐리,"주로 원광을 조쇄기에 공급하기 전에 작은 광석을 제거할 목적으로 이용하는 것으로서 그리즐리라 하는 가장 간단한 체 장치가 있는데 고정체에 속한다. 보통 35-150mm정도의 간격으로 강철대가 그림과 같이 평행으로 놓여 있다. 경사는 보통 25-50°정도이고, 위에서 광석이 중력으로 미끄러져 내려오는 사이에 작은 광석은 밑으로 빠진다. 광산에서는 흔히 레일을 뒤집어서 그리즐리를 만들어 이용하는 곳이 많다.",
150,금강광택,광물의 표면이나 쪼개진면에서 반사되는 빛으로서 다이아몬드 광택을 말함.,金剛光澤
